quarter,channel,spend,impressions,inc_rev_aligned,roas_aligned,inc_rev_realized,roas_realized_wonky,tail_truncated,roas_aligned_lo,roas_aligned_hi,exported_at
2023Q2,ALL (blended),601630.6,144593119.0,3190268.125,5.302702563666143,2870017.375,4.770397940197856,False,,,2026-05-19 21:21:11
2023Q2,Amex,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q2,Meta,212611.13,43134419.0,1402585.375,6.596951961517334,1272774.625,5.9863972663879395,False,3.024671792984009,12.103007316589355,2026-05-19 21:21:11
2023Q2,PMAX,164989.96,101034400.0,926066.8125,5.612867832183838,828946.0625,5.024221420288086,False,2.474341869354248,10.359275817871094,2026-05-19 21:21:11
2023Q2,Search,224029.51,424300.0,861615.9375,3.8459930419921875,768296.6875,3.4294440746307373,False,2.321352243423462,5.865381240844727,2026-05-19 21:21:11
2023Q2,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q2,Video_Google,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q2,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q2,Video_MNTN,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q2,Video_Paramount,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q3,ALL (blended),391612.24,115927560.0,2593392.8125,6.622348710295674,2613652.1875,6.674081963066323,False,,,2026-05-19 21:21:11
2023Q3,Amex,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q3,Meta,116548.55,22860567.0,963802.0,8.269532203674316,978984.9375,8.39980411529541,False,3.797694206237793,15.163990020751953,2026-05-19 21:21:11
2023Q3,PMAX,119213.64,92772313.0,892243.0,7.484403610229492,885570.375,7.428431510925293,False,3.3069889545440674,13.797574996948242,2026-05-19 21:21:11
2023Q3,Search,155850.05,294680.0,737347.8125,4.731136322021484,749096.875,4.806523323059082,False,2.867713689804077,7.206353187561035,2026-05-19 21:21:11
2023Q3,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q3,Video_Google,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q3,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q3,Video_MNTN,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q3,Video_Paramount,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q4,ALL (blended),1528171.71,223334766.0,5398840.125,3.5328753239385646,4868584.12109375,3.1858881362839457,False,,,2026-05-19 21:21:11
2023Q4,Amex,181860.0,5013660.0,607067.125,3.338101387023926,512530.125,2.818267583847046,False,1.509550929069519,6.083734512329102,2026-05-19 21:21:11
2023Q4,Meta,416245.64,56508686.0,1634179.875,3.9259989261627197,1600254.625,3.844496011734009,False,1.7939536571502686,7.217226982116699,2026-05-19 21:21:11
2023Q4,PMAX,351674.21,153540220.0,1083761.625,3.0817203521728516,1091190.25,3.102843999862671,False,1.3533692359924316,5.721041202545166,2026-05-19 21:21:11
2023Q4,Search,367108.15,589662.0,994279.8125,2.70841121673584,959965.3125,2.614938735961914,False,1.6232869625091553,4.148869037628174,2026-05-19 21:21:11
2023Q4,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q4,Video_Google,4536.5599999999995,473201.0,129614.3125,28.571056365966797,59112.49609375,13.03024673461914,False,17.916208267211914,42.67021560668945,2026-05-19 21:21:11
2023Q4,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q4,Video_MNTN,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
2023Q4,Video_Paramount,206747.15,7209337.0,949937.375,4.594681739807129,645531.3125,3.1223225593566895,False,2.978260040283203,6.677961349487305,2026-05-19 21:21:11
2024Q1,ALL (blended),856137.57,137328757.0,3950766.89453125,4.614640255223527,3943937.4140625,4.606663172207827,False,,,2026-05-19 21:21:11
2024Q1,Amex,71519.99,1083864.0,228254.53125,3.191478729248047,261794.65625,3.66044020652771,False,1.4093940258026123,5.945101737976074,2026-05-19 21:21:11
2024Q1,Meta,262554.73,43563015.0,1391430.75,5.299583911895752,1393624.5,5.307939052581787,False,2.430739164352417,9.71806526184082,2026-05-19 21:21:11
2024Q1,PMAX,274123.43,88296530.0,859449.9375,3.135266065597534,850087.4375,3.101111888885498,False,1.385521411895752,5.782468318939209,2026-05-19 21:21:11
2024Q1,Search,143084.45,315751.0,760102.625,5.312265872955322,785791.8125,5.491804122924805,False,3.22126841545105,8.091682434082031,2026-05-19 21:21:11
2024Q1,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-19 21:21:11
