quarter,channel,spend,impressions,inc_rev_aligned,roas_aligned,inc_rev_realized,roas_realized_wonky,tail_truncated,roas_aligned_lo,roas_aligned_hi,exported_at
2024Q1,Meta,262554.73,43563015.0,1371741.5,5.224592685699463,1373359.75,5.2307562828063965,False,2.401799440383911,9.617851257324219,2026-05-24 20:14:38
2024Q1,PMAX,274123.43,88296530.0,997794.0,3.639944076538086,986256.25,3.5978546142578125,False,1.5035717487335205,7.128751277923584,2026-05-24 20:14:38
2024Q1,Search,143084.45,315751.0,799067.875,5.584589004516602,824942.25,5.7654218673706055,False,3.3440418243408203,8.604161262512207,2026-05-24 20:14:38
2024Q1,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2024Q1,Video_Google,125.56,20044.0,9292.068359375,74.0050048828125,86101.8359375,685.7425537109375,False,25.69249725341797,159.1275177001953,2026-05-24 20:14:38
2024Q1,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2024Q1,Video_MNTN,34453.55,1570473.0,353989.0625,10.274385452270508,142947.9375,4.1490044593811035,False,3.7965028285980225,21.297874450683594,2026-05-24 20:14:38
2024Q1,Video_Paramount,70275.86,2479080.0,417253.4375,5.9373650550842285,489951.1875,6.971827983856201,False,2.03304386138916,13.011418342590332,2026-05-24 20:14:38
2024Q2,ALL (blended),827631.8,124372641.0,4437897.8515625,5.362164493392472,4653526.5078125,5.622701432946994,False,,,2026-05-24 20:14:38
2024Q2,Amex,39360.0,722575.0,200344.390625,5.09005069732666,265958.125,6.757066249847412,False,2.0518980026245117,10.157050132751465,2026-05-24 20:14:38
2024Q2,Meta,255443.54,39672407.0,1323830.125,5.18247652053833,1332973.0,5.218268394470215,False,2.3851797580718994,9.544917106628418,2026-05-24 20:14:38
2024Q2,PMAX,273843.01,76448868.0,949990.875,3.4691078662872314,970910.3125,3.545499801635742,False,1.4366748332977295,6.781552791595459,2026-05-24 20:14:38
2024Q2,Search,112380.8,282757.0,760134.5625,6.763918399810791,765344.0625,6.810274600982666,False,4.044290542602539,10.420673370361328,2026-05-24 20:14:38
2024Q2,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2024Q2,Video_Google,942.93,306785.0,100469.2578125,106.5500717163086,86472.2578125,91.70591735839844,False,39.248565673828125,221.51063537597656,2026-05-24 20:14:38
2024Q2,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2024Q2,Video_MNTN,112558.08,5785994.0,870248.75,7.731553077697754,757631.5625,6.731028079986572,False,2.8504905700683594,16.02167320251465,2026-05-24 20:14:38
2024Q2,Video_Paramount,33103.44,1153255.0,232879.890625,7.034914970397949,474237.1875,14.325918197631836,False,2.3947646617889404,15.4916410446167,2026-05-24 20:14:38
2024Q3,ALL (blended),482347.72000000003,84514241.0,3264154.078125,6.767221949603078,3402230.612182617,7.053481277329594,False,,,2026-05-24 20:14:38
2024Q3,Amex,0.0,0.0,0.0,,1292.6375732421875,,False,,,2026-05-24 20:14:38
2024Q3,Meta,165188.57,25809815.0,1029149.6875,6.230151176452637,1073370.0,6.497847080230713,False,2.8561534881591797,11.446332931518555,2026-05-24 20:14:38
2024Q3,PMAX,173478.29,55973175.0,809211.6875,4.664628028869629,821807.125,4.7372331619262695,False,1.930862545967102,9.106101989746094,2026-05-24 20:14:38
2024Q3,Search,93226.45999999999,225440.0,674017.5625,7.22989559173584,685805.75,7.356342315673828,False,4.306147575378418,11.178204536437988,2026-05-24 20:14:38
2024Q3,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2024Q3,Video_Google,3745.08,352694.0,129556.015625,34.593658447265625,95283.828125,25.442399978637695,False,12.539104461669922,72.61750030517578,2026-05-24 20:14:38
2024Q3,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2024Q3,Video_MNTN,46709.32,2153117.0,622219.125,13.321091651916504,715008.9375,15.307628631591797,False,4.884607791900635,27.66808319091797,2026-05-24 20:14:38
2024Q3,Video_Paramount,0.0,0.0,0.0,,9662.333984375,,False,,,2026-05-24 20:14:38
2024Q4,ALL (blended),1586339.65,171476359.0,5483515.1875,3.4567094048869045,4849271.203125,3.0568933980342736,False,,,2026-05-24 20:14:38
2024Q4,Amex,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2024Q4,Meta,402498.68,52924162.0,1515175.625,3.7644238471984863,1453192.375,3.6104276180267334,False,1.7230380773544312,6.954150199890137,2026-05-24 20:14:38
2024Q4,PMAX,453612.58,98237208.0,980842.375,2.1622908115386963,934003.625,2.0590336322784424,False,0.8905460834503174,4.240148067474365,2026-05-24 20:14:38
2024Q4,Search,271647.42,466215.0,916852.6875,3.375157117843628,875928.375,3.2245049476623535,False,2.011922836303711,5.225732326507568,2026-05-24 20:14:38
2024Q4,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2024Q4,Video_Google,9017.3,975607.0,259601.9375,28.78931999206543,215553.109375,23.904396057128906,False,10.992504119873047,58.324012756347656,2026-05-24 20:14:38
2024Q4,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2024Q4,Video_MNTN,346184.37,15917116.0,1227485.375,3.5457561016082764,1047830.6875,3.026799440383911,False,1.266411304473877,7.476009845733643,2026-05-24 20:14:38
2024Q4,Video_Paramount,103379.3,2956051.0,583557.1875,5.644816875457764,322763.03125,3.122124433517456,False,1.9233440160751343,12.4212007522583,2026-05-24 20:14:38
2025Q1,ALL (blended),772463.21,127040393.0,4061676.34375,5.258083868809752,4491728.4375,5.814812122249809,False,,,2026-05-24 20:14:38
2025Q1,Amex,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q1,Meta,275698.39,46642825.0,1396082.25,5.063803195953369,1391755.75,5.048110008239746,False,2.3267786502838135,9.325702667236328,2026-05-24 20:14:38
2025Q1,PMAX,250426.9,74955451.0,911335.75,3.6391286849975586,930387.5625,3.7152061462402344,False,1.506765604019165,7.1102213859558105,2026-05-24 20:14:38
2025Q1,Search,156765.84,316569.0,797449.9375,5.086885929107666,820502.0,5.233933448791504,False,3.0464441776275635,7.836521148681641,2026-05-24 20:14:38
2025Q1,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q1,Video_Google,9229.14,1164451.0,280633.78125,30.407360076904297,283420.28125,30.709285736083984,False,11.65474796295166,61.424076080322266,2026-05-24 20:14:38
2025Q1,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q1,Video_MNTN,80342.94,3961097.0,676174.625,8.416105270385742,804864.75,10.017865180969238,False,3.103628158569336,17.445619583129883,2026-05-24 20:14:38
2025Q1,Video_Paramount,0.0,0.0,0.0,,260798.09375,,False,,,2026-05-24 20:14:38
2025Q2,ALL (blended),823527.51,115345197.0,4120483.484375,5.003455785435753,4205800.015625,5.107054669764462,False,,,2026-05-24 20:14:38
2025Q2,Amex,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q2,Meta,303095.75,49531690.0,1465394.875,4.834758758544922,1488037.25,4.9094624519348145,False,2.2162013053894043,8.917482376098633,2026-05-24 20:14:38
2025Q2,PMAX,270940.55,59963306.0,797562.125,2.9436793327331543,827898.0,3.0556442737579346,False,1.2177430391311646,5.746425151824951,2026-05-24 20:14:38
2025Q2,Search,132419.26,278469.0,750671.25,5.66889762878418,756664.4375,5.714156627655029,False,3.3894450664520264,8.732933044433594,2026-05-24 20:14:38
2025Q2,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q2,Video_Google,9195.44,726658.0,212627.546875,23.123149871826172,231941.953125,25.223583221435547,False,8.770259857177734,47.00209426879883,2026-05-24 20:14:38
2025Q2,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q2,Video_MNTN,107876.51000000001,4845074.0,894227.6875,8.2893648147583,901258.375,8.354537963867188,False,3.055536985397339,17.184518814086914,2026-05-24 20:14:38
2025Q2,Video_Paramount,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q3,ALL (blended),567184.07,81513568.0,3392141.765625,5.980671787247128,3487623.8125,6.149015808042705,False,,,2026-05-24 20:14:38
2025Q3,Amex,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q3,Meta,221622.98,41201799.0,1357687.5,6.126113414764404,1354430.625,6.111417770385742,False,2.8179612159729004,11.284911155700684,2026-05-24 20:14:38
2025Q3,PMAX,192965.72,33536470.0,575367.875,2.981710433959961,600275.1875,3.1107866764068604,False,1.2177600860595703,5.858713626861572,2026-05-24 20:14:38
2025Q3,Search,73392.42,199060.0,618418.25,8.426186561584473,644976.5625,8.788053512573242,False,4.9983930587768555,13.054139137268066,2026-05-24 20:14:38
2025Q3,Video_Epsilon,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q3,Video_Google,22200.35,4574255.0,225647.328125,10.16413402557373,189292.4375,8.526552200317383,False,3.9308793544769287,20.439315795898438,2026-05-24 20:14:38
2025Q3,Video_Hulu,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q3,Video_MNTN,57002.6,2001984.0,615020.8125,10.789346694946289,698649.0,12.256440162658691,False,3.951169013977051,22.432464599609375,2026-05-24 20:14:38
2025Q3,Video_Paramount,0.0,0.0,0.0,,0.0,,False,,,2026-05-24 20:14:38
2025Q4,ALL (blended),1782607.54,149478960.0,6606895.03125,3.706309371523246,5526173.109375,3.100050339389342,False,,,2026-05-24 20:14:38
2025Q4,Amex,242910.0,6118531.0,780561.0625,3.2133755683898926,674500.1875,2.7767493724823,False,1.322005033493042,6.2976603507995605,2026-05-24 20:14:38
2025Q4,Meta,382803.11,52643735.0,1523465.0,3.9797611236572266,1507921.125,3.9391558170318604,False,1.8218395709991455,7.353147029876709,2026-05-24 20:14:38
2025Q4,PMAX,214384.1,29816981.0,545641.625,2.545159101486206,536044.125,2.5003912448883057,False,1.035308599472046,5.021449565887451,2026-05-24 20:14:38
2025Q4,Search,271375.91,343050.0,811093.9375,2.988820791244507,767473.8125,2.8280837535858154,False,1.7890706062316895,4.604041576385498,2026-05-24 20:14:38
2025Q4,Video_Epsilon,252161.41999999998,11528893.0,1361301.875,5.398533344268799,805940.125,3.1961278915405273,False,2.132906675338745,10.693925857543945,2026-05-24 20:14:38
2025Q4,Video_Google,216919.89,41140584.0,496300.78125,2.287945032119751,432678.03125,1.994644284248352,False,0.8496024012565613,4.6958231925964355,2026-05-24 20:14:38
2025Q4,Video_Hulu,102011.11,3485280.0,380422.625,3.729227304458618,219041.609375,2.147233009338379,False,1.4498460292816162,7.470459461212158,2026-05-24 20:14:38
2025Q4,Video_MNTN,0.0,0.0,0.0,,191178.375,,False,,,2026-05-24 20:14:38
2025Q4,Video_Paramount,100042.0,4401906.0,708108.125,7.078108310699463,391395.71875,3.912313938140869,False,2.4195587635040283,15.511714935302734,2026-05-24 20:14:38
2026Q1,ALL (blended),723225.33,72059507.0,2838310.328125,3.9245173120872305,4079906.0,5.641265357782754,True,,,2026-05-24 20:14:38
2026Q1,Amex,0.0,0.0,0.0,,106068.625,,True,,,2026-05-24 20:14:38
2026Q1,Meta,260210.84,31388198.0,1138638.125,4.375828742980957,1190542.125,4.575297832489014,True,1.99726402759552,8.056406021118164,2026-05-24 20:14:38
2026Q1,PMAX,61108.51,22997336.0,447494.3125,7.322945594787598,474953.34375,7.772294521331787,True,2.923184394836426,14.604049682617188,2026-05-24 20:14:38
2026Q1,Search,258899.22,237697.0,672002.6875,2.5956149101257324,708018.625,2.734726667404175,True,1.540818452835083,4.023060321807861,2026-05-24 20:14:38
2026Q1,Video_Epsilon,0.0,0.0,0.0,,555363.25,,True,,,2026-05-24 20:14:38
2026Q1,Video_Google,87370.89,16692392.0,413231.25,4.729621410369873,480671.34375,5.501504421234131,True,1.7782862186431885,9.675727844238281,2026-05-24 20:14:38
2026Q1,Video_Hulu,0.0,0.0,0.0,,161382.640625,,True,,,2026-05-24 20:14:38
2026Q1,Video_MNTN,55635.869999999995,743884.0,166943.953125,3.0006532669067383,86193.328125,1.549240231513977,True,1.0319771766662598,6.457365989685059,2026-05-24 20:14:38
2026Q1,Video_Paramount,0.0,0.0,0.0,,316712.71875,,True,,,2026-05-24 20:14:38
2026Q2,ALL (blended),287726.34,26004586.0,660829.171875,2.2967281058626745,1035773.375,3.599855942976927,True,,,2026-05-24 20:14:38
2026Q2,Amex,0.0,0.0,0.0,,0.0,,True,,,2026-05-24 20:14:38
2026Q2,Meta,126730.35,11591932.0,293847.3125,2.318681478500366,386991.0625,3.053657293319702,True,0.8155331015586853,4.641685485839844,2026-05-24 20:14:38
2026Q2,PMAX,23042.91,7349507.0,105996.8203125,4.5999755859375,141986.96875,6.161850452423096,True,1.436880111694336,9.828186988830566,2026-05-24 20:14:38
2026Q2,Search,83704.45,81082.0,164517.5,1.9654569625854492,226826.921875,2.7098548412323,True,0.8438116908073425,3.3722219467163086,2026-05-24 20:14:38
2026Q2,Video_Epsilon,0.0,0.0,0.0,,0.0,,True,,,2026-05-24 20:14:38
2026Q2,Video_Google,24456.2,6563701.0,46601.01171875,1.9054887294769287,149350.328125,6.106849670410156,True,0.6301878690719604,4.225844860076904,2026-05-24 20:14:38
2026Q2,Video_Hulu,0.0,0.0,0.0,,0.0,,True,,,2026-05-24 20:14:38
2026Q2,Video_MNTN,29792.43,418364.0,49866.52734375,1.6737985610961914,130618.09375,4.384271144866943,True,0.5008302330970764,3.9361376762390137,2026-05-24 20:14:38
2026Q2,Video_Paramount,0.0,0.0,0.0,,0.0,,True,,,2026-05-24 20:14:38
