channel,adstock,pct_week_0,pct_weeks_0_4,half_life_wk,weeks_to_90pct,impulse_week,impulse_note,exported_at
Meta,geometric,0.5305753350257874,0.9174565710127354,0,4,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,0.49238020181655884,0.8965574204921722,1,5,2023-12-17,peak activity in-window,2026-05-19 21:32:24
PMAX,geometric,0.5044982433319092,0.9035190753638744,0,4,2023-10-22,peak activity in-window,2026-05-19 21:32:24
Amex,geometric,0.46173617243766785,0.8750205859541893,1,5,2025-11-23,peak activity in-window,2026-05-19 21:32:24
Video_Epsilon,binomial,0.1282881200313568,0.541759580373764,4,10,2025-12-07,peak activity in-window,2026-05-19 21:32:24
Video_Google,binomial,0.1362239271402359,0.5579952374100685,4,10,2025-12-14,peak activity in-window,2026-05-19 21:32:24
Video_Hulu,binomial,0.13476966321468353,0.5560852289199829,4,10,2025-12-07,peak activity in-window,2026-05-19 21:32:24
Video_MNTN,binomial,0.14489306509494781,0.5767223387956619,4,10,2024-12-15,peak activity in-window,2026-05-19 21:32:24
Video_Paramount,binomial,0.1262427121400833,0.5357778295874596,4,10,2023-12-03,peak activity in-window,2026-05-19 21:32:24
