quarter,channel,type,spend,impressions,input_value,inc_rev_aligned,roas_aligned,inc_rev_realized,roas_realized_wonky,eff_per_input_unit,tail_truncated,roas_aligned_lo,roas_aligned_hi,inc_rev_lo,inc_rev_hi,exported_at
2024Q3,Search,paid,93226.45999999999,225440.0,,673757.0,7.227100372314453,685567.5,7.353786468505859,,False,4.320677757263184,11.154438018798828,,,2026-05-25 14:11:04
2024Q3,Video_Epsilon,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2024Q3,Video_Google,paid,3745.08,352694.0,,129581.8984375,34.60056686401367,95349.484375,25.459932327270508,,False,12.497089385986328,72.92206573486328,,,2026-05-25 14:11:04
2024Q3,Video_Hulu,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2024Q3,Video_MNTN,paid,46709.32,2153117.0,,619452.4375,13.261858940124512,712067.0625,15.244646072387695,,False,4.875112533569336,27.469545364379883,,,2026-05-25 14:11:04
2024Q3,Video_Paramount,paid,0.0,0.0,,0.0,,9679.556640625,,,False,,,,,2026-05-25 14:11:04
2024Q3,ALL_PAID (blended),paid_blend,482347.72000000003,84514241.0,,3260102.0859375,6.75882138706388,3398052.2384033203,7.044818701337118,,False,,,,,2026-05-25 14:11:04
2024Q4,Celebs,non_media,,,5.0,,,1355916.875,,271183.375,False,,,67698.75,2643961.0,2026-05-25 14:11:04
2024Q4,Email_sends,non_media,,,29065492.0,,,8933451.0,,0.3073559188332336,False,,,3816242.75,14034407.0,2026-05-25 14:11:04
2024Q4,Redemptions_Birthday_Signup,non_media,,,5055.13,,,1562212.25,,309.03502976184586,False,,,-4462513.0,7600462.0,2026-05-25 14:11:04
2024Q4,Redemptions_Other,non_media,,,2496.0,,,56282.91796875,,22.54924598106971,False,,,-955864.9375,1063034.75,2026-05-25 14:11:04
2024Q4,StoreCount,non_media,,,122.30769230769229,,,13251569.0,,108346.16163522014,False,,,2938175.5,23447716.0,2026-05-25 14:11:04
2024Q4,Vault_Drops,non_media,,,4.0,,,646956.9375,,161739.234375,False,,,-836028.8125,2142053.25,2026-05-25 14:11:04
2024Q4,Amex,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2024Q4,Meta,paid,402498.68,52924162.0,,1515451.375,3.765108823776245,1453546.75,3.6113080978393555,,False,1.7182537317276,6.9795823097229,,,2026-05-25 14:11:04
2024Q4,PMAX,paid,453612.58,98237208.0,,979421.6875,2.159158945083618,932524.625,2.0557732582092285,,False,0.8856930136680603,4.240358829498291,,,2026-05-25 14:11:04
2024Q4,Search,paid,271647.42,466215.0,,916571.625,3.374122381210327,875575.5625,3.223206043243408,,False,2.0148727893829346,5.221583366394043,,,2026-05-25 14:11:04
2024Q4,Video_Epsilon,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2024Q4,Video_Google,paid,9017.3,975607.0,,259394.0625,28.766267776489258,215479.546875,23.896238327026367,,False,10.95880126953125,58.424530029296875,,,2026-05-25 14:11:04
2024Q4,Video_Hulu,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2024Q4,Video_MNTN,paid,346184.37,15917116.0,,1221877.625,3.529557466506958,1042451.125,3.0112597942352295,,False,1.2686318159103394,7.40755033493042,,,2026-05-25 14:11:04
2024Q4,Video_Paramount,paid,103379.3,2956051.0,,583278.6875,5.642122745513916,322478.9375,3.1193764209747314,,False,1.9241052865982056,12.454277038574219,,,2026-05-25 14:11:04
2024Q4,ALL_PAID (blended),paid_blend,1586339.65,171476359.0,,5475995.0625,3.4519688532654405,4842056.546875,3.052345408421835,,False,,,,,2026-05-25 14:11:04
2025Q1,Celebs,non_media,,,5.0,,,1355916.875,,271183.375,False,,,67698.75,2643961.0,2026-05-25 14:11:04
2025Q1,Email_sends,non_media,,,21585635.0,,,6634479.0,,0.30735621166576754,False,,,2834152.75,10422724.0,2026-05-25 14:11:04
2025Q1,Redemptions_Birthday_Signup,non_media,,,8072.76,,,2494771.0,,309.0356953507846,False,,,-7126386.5,12137507.0,2026-05-25 14:11:04
2025Q1,Redemptions_Other,non_media,,,1431.93,,,32288.869140625,,22.549195240427256,False,,,-548368.9375,609853.1875,2026-05-25 14:11:04
2025Q1,StoreCount,non_media,,,126.12087912087911,,,16714091.0,,132524.37753768408,False,,,3705904.75,29574498.0,2026-05-25 14:11:04
2025Q1,Vault_Drops,non_media,,,6.0,,,970434.6875,,161739.11458333334,False,,,-1254043.25,3213079.75,2026-05-25 14:11:04
2025Q1,Amex,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q1,Meta,paid,275698.39,46642825.0,,1396346.75,5.064762115478516,1392019.375,5.049066066741943,,False,2.317962169647217,9.37232780456543,,,2026-05-25 14:11:04
2025Q1,PMAX,paid,250426.9,74955451.0,,909959.4375,3.6336328983306885,929045.6875,3.7098476886749268,,False,1.4997776746749878,7.122160911560059,,,2026-05-25 14:11:04
2025Q1,Search,paid,156765.84,316569.0,,797194.375,5.0852556228637695,820276.8125,5.232497215270996,,False,3.0529801845550537,7.828511714935303,,,2026-05-25 14:11:04
2025Q1,Video_Epsilon,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q1,Video_Google,paid,9229.14,1164451.0,,280363.375,30.378061294555664,283145.3125,30.67949104309082,,False,11.649076461791992,61.328739166259766,,,2026-05-25 14:11:04
2025Q1,Video_Hulu,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q1,Video_MNTN,paid,80342.94,3961097.0,,673102.5625,8.37786865234375,801738.875,9.978959083557129,,False,3.1032826900482178,17.35811996459961,,,2026-05-25 14:11:04
2025Q1,Video_Paramount,paid,0.0,0.0,,0.0,,260796.859375,,,False,,,,,2026-05-25 14:11:04
2025Q1,ALL_PAID (blended),paid_blend,772463.21,127040393.0,,4056966.5,5.251986693320967,4487022.921875,5.808720549778675,,False,,,,,2026-05-25 14:11:04
2025Q2,Celebs,non_media,,,8.0,,,2169464.0,,271183.0,False,,,108318.0,4230338.0,2026-05-25 14:11:04
2025Q2,Email_sends,non_media,,,30118077.0,,,9256970.0,,0.3073559444050827,False,,,3954444.75,14542652.0,2026-05-25 14:11:04
2025Q2,Redemptions_Birthday_Signup,non_media,,,4060.1,,,1254712.0,,309.0347528386,False,,,-3584133.75,6104416.0,2026-05-25 14:11:04
2025Q2,Redemptions_Other,non_media,,,721.0799999999999,,,16259.8359375,,22.549281546430358,False,,,-276143.09375,307105.5,2026-05-25 14:11:04
2025Q2,StoreCount,non_media,,,124.21978021978022,,,14987917.0,,120656.44435598019,False,,,3323143.5,26519942.0,2026-05-25 14:11:04
2025Q2,Vault_Drops,non_media,,,9.0,,,1455654.5,,161739.38888888888,False,,,-1881064.75,4819619.5,2026-05-25 14:11:04
2025Q2,Amex,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q2,Meta,paid,303095.75,49531690.0,,1465656.75,4.835622787475586,1488279.875,4.9102630615234375,,False,2.211108684539795,8.957059860229492,,,2026-05-25 14:11:04
2025Q2,PMAX,paid,270940.55,59963306.0,,796349.25,2.9392027854919434,826714.25,3.0512752532958984,,False,1.2159004211425781,5.7517595291137695,,,2026-05-25 14:11:04
2025Q2,Search,paid,132419.26,278469.0,,750419.6875,5.666997909545898,756429.0625,5.712379455566406,,False,3.3990535736083984,8.728928565979004,,,2026-05-25 14:11:04
2025Q2,Video_Epsilon,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q2,Video_Google,paid,9195.44,726658.0,,212505.40625,23.109867095947266,231756.546875,25.203420639038086,,False,8.70952320098877,47.28308868408203,,,2026-05-25 14:11:04
2025Q2,Video_Hulu,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q2,Video_MNTN,paid,107876.51000000001,4845074.0,,890159.8125,8.251655578613281,897072.0625,8.315731048583984,,False,3.058145046234131,17.08770751953125,,,2026-05-25 14:11:04
2025Q2,Video_Paramount,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q2,ALL_PAID (blended),paid_blend,823527.51,115345197.0,,4115090.90625,4.996907639733856,4200251.796875,5.100317531438628,,False,,,,,2026-05-25 14:11:04
2025Q3,Celebs,non_media,,,7.0,,,1898272.5,,271181.78571428574,False,,,94778.25,3701545.75,2026-05-25 14:11:04
2025Q3,Email_sends,non_media,,,10543479.0,,,3240620.25,,0.30735777536048586,False,,,1384337.75,5090968.0,2026-05-25 14:11:04
2025Q3,Redemptions_Birthday_Signup,non_media,,,6246.62,,,1930429.75,,309.0358866074773,False,,,-5514325.5,9391881.0,2026-05-25 14:11:04
2025Q3,Redemptions_Other,non_media,,,3208.05,,,72338.921875,,22.549187785414816,False,,,-1228548.0,1366295.25,2026-05-25 14:11:04
2025Q3,StoreCount,non_media,,,125.2967032967033,,,15965791.0,,127423.87133836169,False,,,3539970.0,28250270.0,2026-05-25 14:11:04
2025Q3,Vault_Drops,non_media,,,9.0,,,1455654.375,,161739.375,False,,,-1881065.75,4819620.5,2026-05-25 14:11:04
2025Q3,Amex,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q3,Meta,paid,221622.98,41201799.0,,1357900.75,6.127075672149658,1354640.625,6.112365245819092,,False,2.808941125869751,11.33524227142334,,,2026-05-25 14:11:04
2025Q3,PMAX,paid,192965.72,33536470.0,,574478.75,2.977102518081665,599429.0,3.1064014434814453,,False,1.217230200767517,5.8787078857421875,,,2026-05-25 14:11:04
2025Q3,Search,paid,73392.42,199060.0,,618154.3125,8.422590255737305,644742.0625,8.784858703613281,,False,5.015199661254883,13.048174858093262,,,2026-05-25 14:11:04
2025Q3,Video_Epsilon,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q3,Video_Google,paid,22200.35,4574255.0,,225350.796875,10.150776863098145,189157.515625,8.520474433898926,,False,3.9225013256073,20.45260238647461,,,2026-05-25 14:11:04
2025Q3,Video_Hulu,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q3,Video_MNTN,paid,57002.6,2001984.0,,612285.25,10.741355895996094,695702.75,12.204754829406738,,False,3.9437155723571777,22.280380249023438,,,2026-05-25 14:11:04
2025Q3,Video_Paramount,paid,0.0,0.0,,0.0,,0.0,,,False,,,,,2026-05-25 14:11:04
2025Q3,ALL_PAID (blended),paid_blend,567184.07,81513568.0,,3388169.859375,5.973668934980844,3483671.953125,6.14204830034278,,False,,,,,2026-05-25 14:11:04
2025Q4,Celebs,non_media,,,15.0,,,4067737.0,,271182.4666666667,False,,,203095.296875,7931885.0,2026-05-25 14:11:04
2025Q4,Email_sends,non_media,,,35801350.0,,,11003852.0,,0.3073585772603547,False,,,4700647.0,17286848.0,2026-05-25 14:11:04
2025Q4,Redemptions_Birthday_Signup,non_media,,,6997.55,,,2162475.5,,309.0332330601425,False,,,-6177223.5,10520914.0,2026-05-25 14:11:04
2025Q4,Redemptions_Other,non_media,,,3867.95,,,87219.4921875,,22.549281192233614,False,,,-1481265.625,1647344.625,2026-05-25 14:11:04
2025Q4,StoreCount,non_media,,,122.51648351648352,,,13441153.0,,109708.93559960535,False,,,2980213.5,23783198.0,2026-05-25 14:11:04
2025Q4,Vault_Drops,non_media,,,11.0,,,1779132.0,,161739.27272727274,False,,,-2299081.0,5890648.0,2026-05-25 14:11:04
2025Q4,Amex,paid,242910.0,6118531.0,,780870.4375,3.214649200439453,674839.75,2.7781472206115723,,False,1.3243858814239502,6.288114547729492,,,2026-05-25 14:11:04
2025Q4,Meta,paid,382803.11,52643735.0,,1523720.25,3.9804279804229736,1508194.625,3.9398701190948486,,False,1.8156763315200806,7.376298427581787,,,2026-05-25 14:11:04
2025Q4,PMAX,paid,214384.1,29816981.0,,544796.875,2.5412187576293945,535195.5,2.4964327812194824,,False,1.0330531597137451,5.0301899909973145,,,2026-05-25 14:11:04
