channel,adstock,lag_weeks,pct_of_revenue,cumulative_pct,impulse_week,impulse_note,exported_at
Meta,geometric,0,0.5305753350257874,0.5305753350257874,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,1,0.20061619579792023,0.7311915159225464,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,2,0.09724694490432739,0.8284384608268738,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,3,0.05481266602873802,0.8832511305809021,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,4,0.03420542925596237,0.9174565672874451,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,5,0.022969039157032967,0.9404256343841553,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,6,0.016296902671456337,0.9567225575447083,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,7,0.012067337520420551,0.9687898755073547,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,8,0.009243734180927277,0.9780336022377014,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,9,0.0072782994247972965,0.9853119254112244,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,10,0.005862138699740171,0.991174042224884,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,11,0.004811979364603758,0.9959860444068909,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Meta,geometric,12,0.004014023579657078,1.0000001192092896,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,0,0.49238020181655884,0.49238020181655884,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,1,0.20040841400623322,0.6927886009216309,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,2,0.10310239344835281,0.7958909869194031,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,3,0.06102659925818443,0.8569175601005554,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,4,0.03963981196284294,0.8965573906898499,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,5,0.027500329539179802,0.9240577220916748,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,6,0.02003663219511509,0.9440943598747253,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,7,0.015161280520260334,0.9592556357383728,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,8,0.011822432279586792,0.9710780382156372,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,9,0.009447271935641766,0.9805253148078918,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,10,0.007704077288508415,0.9882293939590454,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,11,0.006390955299139023,0.9946203231811523,2023-12-17,peak activity in-window,2026-05-19 21:32:24
Search,geometric,12,0.005379642825573683,0.9999999403953552,2023-12-17,peak activity in-window,2026-05-19 21:32:24
PMAX,geometric,0,0.5044982433319092,0.5044982433319092,2023-10-22,peak activity in-window,2026-05-19 21:32:24
PMAX,geometric,1,0.2005772590637207,0.7050755023956299,2023-10-22,peak activity in-window,2026-05-19 21:32:24
PMAX,geometric,2,0.10136881470680237,0.8064442873001099,2023-10-22,peak activity in-window,2026-05-19 21:32:24
PMAX,geometric,3,0.05913139507174492,0.8655756711959839,2023-10-22,peak activity in-window,2026-05-19 21:32:24
PMAX,geometric,4,0.037943363189697266,0.9035190343856812,2023-10-22,peak activity in-window,2026-05-19 21:32:24
