channel,adstock,lag_weeks,pct_of_revenue,cumulative_pct,impulse_week,impulse_note,exported_at
Amex,geometric,10,0.0063306475058197975,0.9905341863632202,2025-11-23,peak activity in-window,2026-05-25 14:47:32
Amex,geometric,11,0.005172159988433123,0.99570631980896,2025-11-23,peak activity in-window,2026-05-25 14:47:32
Amex,geometric,12,0.0042936415411531925,0.9999999403953552,2025-11-23,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,0,0.13766558468341827,0.13766558468341827,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,1,0.12305284291505814,0.260718435049057,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,2,0.11092016845941544,0.37163859605789185,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,3,0.1002684161067009,0.47190701961517334,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,4,0.09067285805940628,0.562579870223999,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,5,0.08186560869216919,0.6444454789161682,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,6,0.07365192472934723,0.7180973887443542,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,7,0.06587527692317963,0.7839726805686951,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,8,0.05839510262012482,0.8423677682876587,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,9,0.05105964466929436,0.8934274315834045,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,10,0.04367682710289955,0.9371042847633362,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,11,0.035920459777116776,0.9730247259140015,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Epsilon,binomial,12,0.02697528339922428,1.0,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,0,0.13743796944618225,0.13743796944618225,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,1,0.1227073222398758,0.26014530658721924,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,2,0.11054301261901855,0.3706883192062378,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,3,0.09995336830615997,0.4706416726112366,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,4,0.09045366197824478,0.5610953569412231,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,5,0.08175110071897507,0.6428464651107788,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,6,0.07364023476839066,0.7164866924285889,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,7,0.06596080958843231,0.7824475169181824,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,8,0.05856849625706673,0.8410159945487976,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,9,0.051312848925590515,0.8923288583755493,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,10,0.04399756342172623,0.9363264441490173,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,11,0.03629453480243683,0.972620964050293,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Google,binomial,12,0.027379110455513,1.0000001192092896,2025-12-14,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,0,0.13927651941776276,0.13927651941776276,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,1,0.12391175329685211,0.26318827271461487,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,2,0.1113247275352478,0.37451300024986267,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,3,0.10039640963077545,0.4749094247817993,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,4,0.09061803668737411,0.5655274391174316,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,5,0.08168161660432816,0.6472090482711792,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,6,0.07337452471256256,0.7205835580825806,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,7,0.06552916020154953,0.7861127257347107,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,8,0.05799800530076027,0.8441107273101807,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,9,0.050628431141376495,0.8947391510009766,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,10,0.043228112161159515,0.9379672408103943,2025-12-07,peak activity in-window,2026-05-25 14:47:32
Video_Hulu,binomial,11,0.03547244518995285,0.9734396934509277,2025-12-07,peak activity in-window,2026-05-25 14:47:32
